Stage,Development,HPF,Species,Mark,Temperature,Replicate.Bio,Abs.450,DNA.ng
Std10,Standard,Standard,Standard,5fC,NA,Rep2,0.378,NA
Std10,Standard,Standard,Standard,5fC,NA,Rep3,0.414,NA
Std20,Standard,Standard,Standard,5fC,NA,Rep1,0.807,NA
Std20,Standard,Standard,Standard,5fC,NA,Rep2,0.706,NA
Std20,Standard,Standard,Standard,5fC,NA,Rep3,0.814,NA
Std40,Standard,Standard,Standard,5fC,NA,Rep1,1.386,NA
Std40,Standard,Standard,Standard,5fC,NA,Rep2,1.342,NA
Std40,Standard,Standard,Standard,5fC,NA,Rep3,1.227,NA
Std100,Standard,Standard,Standard,5fC,NA,Rep1,1.988,NA
Std100,Standard,Standard,Standard,5fC,NA,Rep2,1.804,NA
Std100,Standard,Standard,Standard,5fC,NA,Rep3,2.312,NA
PC,Standard,Standard,Standard,5fC,NA,Rep1,2.365,NA
PC,Standard,Standard,Standard,5fC,NA,Rep2,2.184,NA
PC,Standard,Standard,Standard,5fC,NA,Rep3,1.74,NA
Std400,Standard,Standard,Standard,5fC,NA,Rep1,3.067,NA
Std400,Standard,Standard,Standard,5fC,NA,Rep2,3.08,NA
Std400,Standard,Standard,Standard,5fC,NA,Rep3,3.133,NA
